"","valor"
"1",6.12059578972634
"2",38.33263733052
"3",8.38088328225195
"4",8.56767886297876
"5",4.48803399053886
"6",12.6369160232933
"7",12.3146643167243
"8",10.2067254217987
"9",13.9589610201907
"10",19.2364877908644
"11",9.33124317331757
"12",6.84604163286958
"13",9.32090843174107
"14",14.9868186055884
"15",13.579350011248
"16",9.75638016906035
"17",30.3661194086207
"18",18.2525968400165
"19",20.1696884039306
"20",12.4786216302947
"21",17.0165236129704
"22",49.6163727073236
"23",27.308212219055
"24",12.4102712071636
"25",8.04340979059083
"26",12.6742085029831
"27",13.2042216883089
"28",16.0976541636694
"29",16.2400422661603
"30",18.4901624773603
"31",22.2955854788652
"32",51.5845114066297
"33",10.7551295753366
"34",7.82798164711041
"35",11.8998519710558
"36",11.121889429648
"37",17.5467808736677
"38",11.1595146186032
"39",24.0194326308427
"40",8.14438944528139
"41",15.8471637301677
"42",7.43652943249243
"43",21.0495835518946
"44",5.71231634644034
"45",12.3653450538869
"46",19.4856744748723
"47",8.27937953681714
"48",16.6764695294255
"49",23.0778207217372
"50",11.0722340055624
"51",14.5034862664397
"52",13.9070743142444
"53",19.5719290557188
"54",50.0088957728497
"55",7.92059209520976
"56",23.1221553406841
"57",20.5641618840988
"58",6.76279537660732
"59",12.8068062356712
"60",17.9667487496416
"61",18.9902941836374
"62",27.022027314839
"63",24.8649966901693
"64",16.7479749107547
"65",24.547131948976
"66",24.7314098952955
"67",48.0606210572627
"68",4.09777440820765
"69",26.6468824312212
"70",29.5781804923375
"71",10.8564527242694
"72",17.291102479597
"73",11.5001034752687
"74",13.3362811426912
"75",13.9853970889484
"76",10.1725923380244
"77",6.94045773001989
"78",11.8180705623518
"79",20.2884849531688
"80",13.3727475846351
"81",14.9177954109533
"82",6.92795218468663
"83",13.1804384786223
"84",29.9245593995333
"85",14.6724612857109
"86",25.4901996270536
"87",13.382733443096
"88",29.0269714145005
"89",10.7495800017956
"90",8.34749088483188
"91",18.6504269716344
"92",8.24161007241767
"93",25.4963585846158
"94",16.0796986047783
"95",27.6664859820659
"96",12.1172061188783
"97",19.5186175046794
"98",9.80759646392807
"99",12.8918050926766
"100",8.13048538106684
"101",47.2773489268254
"102",15.3460516383658
"103",43.8298133946739
"104",10.6880398274581
"105",15.8669025126714
"106",23.8903455763324
"107",12.8513235943831
"108",18.73714614729
"109",7.37767605695769
"110",37.0016851341783
"111",15.5457720270538
"112",10.8416476618037
"113",10.8621541624514
"114",23.2927102989951
"115",7.3195702487213
"116",6.60069475716099
"117",13.100215685028
"118",14.1019220428981
"119",17.3608818848314
"120",30.6481438806736
"121",13.404377784106
"122",22.5138364746433
"123",19.0683663325388
"124",6.30733077244692
"125",6.82231282905988
"126",34.5362646289751
"127",13.0448036762974
"128",53.489996499032
"129",4.95262656083789
"130",13.9251170512281
"131",23.557075275348
"132",18.067283525206
"133",9.57133460489579
"134",29.5898171281839
"135",12.5919476846379
"136",28.0532585374023
"137",18.5507211131523
"138",24.7421624172148
"139",6.97482836620042
"140",20.4287250412483
"141",28.6067897458803
"142",9.77974080973593
"143",34.904497916715
"144",35.2834144210955
"145",6.84017440456136
"146",8.68644773846203
"147",4.80248902402272
"148",15.1272649724865
"149",8.63263689649976
"150",5.53705614799885
"151",17.3120713393153
"152",21.8759652960642
"153",12.0834691839077
"154",10.9226876417233
"155",18.8950759050825
"156",26.3675563480046
"157",17.3936875276482
"158",4.34888449333571
"159",17.6861603135616
"160",18.4888389773864
"161",5.40841127737651
"162",31.4469462969219
"163",5.14427409936697
"164",17.0083010046623
"165",10.6300802333803
"166",10.969539142325
"167",8.47143695934349
"168",39.7015262105099
"169",10.0574119163787
"170",24.6192380456693
"171",10.3092631382142
"172",11.9051349706471
"173",10.9228794889561
"174",12.1209921013028
"175",22.4289215873775
"176",24.0228504663404
"177",9.20841292574148
